번호,문제,보기1,보기2,보기3,보기4,정답,타입,이미지
1,"분극의 세기 P, 전계 E, 전속밀도 D의 관계를 나타낸 것으로 옳은 것은? (단, ε 는 진공의 유전율이고, ε 은 유전체의 비유",,,,,3,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q001.png
2,때 C 에서 C 로 이동하는 전하 Q(μC)는?,,,,,4,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q002.png
3,내부 장치 또는 공간을 물질로 포위시켜 외부 자계의 영향을 차폐시키는 방식을 자기차폐라 한다. 다음 중 자기차폐에 가 장 적합한 것은?,비투자율이 1 보다 작은 역자성체,강자성체 중에서 비투자율이 큰 물질,강자성체 중에서 비투자율이 작은 물질,비투자율에 관계없이 물질의 두께에만 관계되므로 되도록 이면 두꺼운 물질,2,text,
4,"주파수가 100MHz 일 때 구리의 표피두께(skin depth)는 약 몇 mm 인가? (단, 구리의 도전율은 5.9×107 ℧/m 이고, 비 투자율은 0.99 이다.)",3.3 × 10-2,6.6 × 10-2,3.3 × 10-3,6.6 × 10-3,4,text,
5,압전기 현상에서 전기 분극이 기계적 응력에 수직한 방향으 로 발생하는 현상은?,종효과,횡효과,역효과,직접효과,2,text,
6,구리의 고유저항은 20℃에서 1.69×10-8 Ω·m 이고 온도계수 는 0.00393 이다. 단면적이 2mm2 이고 100m 인 구리선의 저항값은 40℃에서 약 몇 Ω 인가?,0.91 × 10-3,1.89 × 10-3,0.91,1.89,3,text,
7,전위경도 V와 전계 E의 관계식은?,E = grad V,E = div V,E = -grad V,E = -div V,3,text,
8,정전계에서 도체에 정(+)의 전하를 주었을 때의 설명으로 틀 린 것은?,도체 표면의 곡률 반지름이 작은 곳에 전하가 많이 분포 한다.,도체 외측의 표면에만 전하가 분포한다.,도체 표면에서 수직으로 전기력선이 출입한다.,도체 내에 있는 공동면에도 전하가 골고루 분포한다.,4,text,
9,평행 도선에 같은 크기의 왕복 전류가 흐를 때 두 도선 사이 에 작용하는 힘에 대한 설명으로 옳은 것은?,흡인력이다.,전류의 제곱에 비례한다.,주위 매질의 투자율에 반비례한다.,두 도선 사이 간격의 제곱에 반비례한다.,2,text,
10,"비유전율 3, 비투자율 3인 매질에서 전자기파의 진행속도 v(m/s)와 진공에서의 속도 v (m/s)의 관계는?",,,,,2,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q010.png
11,대지의 고유저항이 ρ(Ω·m)일 때 반지름이 a(m)인 그림과 같은 반구 접지극의 접지저항(Ω)은?,ρ/4πa,ρ/2πa,2πρ/a,2πρa,2,image,C:\전기CBT\out_img\전기기사20200822(교사용)_p08_q011.png
12,공기 중에서 2V/m의 전계의 세기에 의한 변위전류밀도의 크기를 2A/m2으로 흐르게 하려면 전계의 주파수는 약 몇 MHz가 되어야 하는가?,9000,18000,36000,72000,2,text,
